Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-April-2026,19.93,19.99,19.72,19.76,19.822614883668192450,8113860,38742,160837922.00,,,0.27,-0.17
20-April-2026,20.81,20.82,19.76,19.85,20.226857281301675271,19415718,49251,392718957.00,10007887,51.55,1.06,-0.96
17-April-2026,20.13,20.42,19.83,20.20,20.034715410528154351,10328439,39988,206927336.00,5075917,49.14,0.59,0.07
16-April-2026,19.52,20.13,19.37,19.95,19.813247210747214809,11077698,33108,219485169.00,5825742,52.59,0.76,0.43
15-April-2026,19.17,19.43,19.16,19.36,19.336009293789752758,6181332,30691,119522293.00,3390712,54.85,0.27,0.19
13-April-2026,18.72,18.97,18.46,18.88,18.744826119278226939,7028525,34700,131748479.00,4205021,59.83,0.51,0.16
10-April-2026,19.00,19.20,19.00,19.09,19.098840633615289821,4893190,30673,93454256.00,2482212,50.73,0.20,0.09
9-April-2026,19.07,19.18,18.84,18.94,18.992787105283849463,5939363,31324,112805057.00,2522726,42.47,0.34,-0.13
8-April-2026,18.72,19.09,18.67,19.04,18.866133244991971009,11422358,37169,215495728.00,5747828,50.32,0.42,0.32
7-April-2026,18.15,18.20,17.92,18.14,18.086774650406937293,5780006,31547,104541666.00,3046750,52.71,0.28,-0.01
6-April-2026,17.97,18.19,17.68,18.15,17.937161755671491187,6283180,27293,112702416.00,2678905,42.64,0.51,0.18
2-April-2026,17.73,17.95,17.30,17.85,17.497756778712292257,6381448,32000,111661025.00,2577931,40.40,0.65,0.12
1-April-2026,17.60,18.10,17.60,17.91,17.824739247239179115,8917547,31700,158952950.00,4167774,46.74,0.50,0.31
30-March-2026,17.92,17.95,17.19,17.25,17.450205260896723683,17433910,42343,304225308.00,9669563,55.46,0.76,-0.67
27-March-2026,18.47,18.47,17.96,18.12,18.120249687163713532,11961528,37880,216745874.00,7750180,64.79,0.51,-0.35
25-March-2026,18.21,18.59,18.19,18.47,18.464511447251116981,9256196,32282,170911137.00,5121441,55.33,0.40,0.26
24-March-2026,18.12,18.17,17.85,18.08,18.015675902126613668,10049310,35438,181045112.00,5135235,51.10,0.32,-0.04
23-March-2026,18.40,18.46,17.58,17.66,17.892587073703910303,10983827,40324,196529081.00,5665458,51.58,0.88,-0.74
20-March-2026,18.49,18.99,18.49,18.58,18.756937097098877845,6835424,34390,128211618.00,3921268,57.37,0.50,0.09
19-March-2026,18.62,18.74,18.28,18.39,18.484281302182192926,6939029,35105,128262964.00,3482287,50.18,0.46,-0.23
18-March-2026,18.72,18.98,18.66,18.94,18.855895938517164246,4160771,27024,78455065.00,2602045,62.54,0.32,0.22
17-March-2026,18.55,18.72,18.45,18.64,18.575599152739611713,6986282,35747,129774374.00,3377477,48.34,0.27,0.09
16-March-2026,18.61,18.83,18.18,18.55,18.448852929726059811,11736029,45300,216516273.00,5736478,48.88,0.65,-0.06
13-March-2026,19.20,19.26,18.75,18.81,18.937084644310600779,8742206,41164,165551895.00,4736159,54.18,0.51,-0.39
12-March-2026,19.46,19.52,19.04,19.31,19.253764471582503360,5174365,32199,99626005.00,2215496,42.82,0.48,-0.15
11-March-2026,19.91,20.04,19.46,19.53,19.738606211868995038,4951843,37214,97742479.00,3011807,60.82,0.58,-0.38
10-March-2026,19.81,20.04,19.74,19.91,19.879035960395289841,5916064,34068,117605649.00,2962925,50.08,0.30,0.10
9-March-2026,19.87,19.88,19.30,19.66,19.496314751534186020,11773833,36328,229546354.00,5772809,49.03,0.58,-0.21
6-March-2026,20.21,20.50,20.07,20.13,20.334619148222134729,4955353,31768,100765216.00,2288382,46.18,0.43,-0.08
5-March-2026,20.01,20.27,19.92,20.23,20.096750911554589343,3199205,27478,64293626.00,1498805,46.85,0.35,0.22
4-March-2026,19.85,20.23,19.85,20.00,20.020447285544706765,10120023,38567,202607387.00,5804622,57.36,0.38,0.15
2-March-2026,19.23,20.50,19.23,20.18,20.166492933143801207,15653283,45198,315671821.00,8709016,55.64,1.27,0.95
27-February-2026,21.05,21.05,20.67,20.73,20.755436766630160671,3750069,29341,77834320.00,1887393,50.33,0.38,-0.32
26-February-2026,20.74,21.24,20.74,21.03,20.999312339227718219,8907008,31783,187041043.00,4479819,50.30,0.50,0.29
25-February-2026,20.81,20.94,20.56,20.74,20.737231750164644155,5493666,29003,113923425.00,3139288,57.14,0.38,-0.07
24-February-2026,20.89,21.00,20.61,20.82,20.831283424715309995,2371000,28940,49390973.00,1097908,46.31,0.39,-0.07
23-February-2026,21.05,21.14,20.77,20.88,20.921025697677193571,5195956,28005,108704729.00,2665386,51.30,0.37,-0.17
20-February-2026,20.93,21.12,20.84,21.04,21.016175840318692439,5347852,24928,112391398.00,3129856,58.53,0.28,0.11
19-February-2026,21.24,21.34,20.87,20.97,21.102686444807223977,4240102,23640,89477543.00,2323598,54.80,0.47,-0.27
18-February-2026,21.09,21.26,21.07,21.24,21.169164761085501866,5762459,22430,121986444.00,3724957,64.64,0.19,0.15
17-February-2026,20.87,21.17,20.87,21.09,21.053211854216644643,5228553,21537,110077834.00,2493138,47.68,0.30,0.22
16-February-2026,20.75,21.00,20.70,20.96,20.856664616872732356,6351858,24979,132478572.00,4111274,64.73,0.30,0.21
13-February-2026,21.02,21.07,20.72,20.86,20.837249491239431584,7848977,36981,163551092.00,4530414,57.72,0.35,-0.16
12-February-2026,21.30,21.33,21.00,21.11,21.113436775868881788,6617845,33442,139725452.00,3429314,51.82,0.33,-0.19
11-February-2026,21.46,21.49,21.22,21.33,21.319688812629356172,5555881,30186,118449654.00,2266621,40.80,0.27,-0.13
10-February-2026,21.58,21.60,21.35,21.40,21.463702943414387700,6516038,33627,139858304.00,3583257,54.99,0.25,-0.18
9-February-2026,21.37,21.64,21.31,21.57,21.553594341099274905,7212991,35420,155465882.00,4687803,64.99,0.33,0.20
6-February-2026,21.33,21.43,21.08,21.31,21.216006584465629365,5217128,33120,110686622.00,2533843,48.57,0.35,-0.02
5-February-2026,21.60,21.66,21.20,21.38,21.419249968848302677,3932370,26003,84228416.00,1626913,41.37,0.46,-0.22
4-February-2026,21.32,21.63,21.27,21.54,21.526012735380721588,6456030,35622,138972584.00,3907062,60.52,0.36,0.22
3-February-2026,21.93,21.98,21.26,21.32,21.401089934969301810,6097428,34753,130491605.00,2548459,41.80,0.72,-0.61
2-February-2026,21.15,21.35,20.81,21.18,21.034509896446270760,8069917,38954,169746749.00,3675277,45.54,0.54,0.03
1-February-2026,21.42,21.55,20.91,21.15,21.293431549182838487,6425168,30036,136813875.00,3373968,52.51,0.64,-0.27
30-January-2026,21.12,21.47,21.00,21.41,21.294366067593362155,9836025,44003,209451917.00,4583037,46.59,0.47,0.29
