Date,Open,High,Low,Close
30-April-2025,80370.80,80525.61,79879.15,80242.24
2-May-2025,80300.19,81177.93,80168.59,80501.99
5-May-2025,80661.62,81049.03,80657.71,80796.84
6-May-2025,80907.24,80981.58,80481.03,80641.07
7-May-2025,79948.80,80844.63,79937.48,80746.78
8-May-2025,80912.34,80927.99,79987.61,80334.81
9-May-2025,78968.34,80032.93,78968.34,79454.47
12-May-2025,80803.80,82495.97,80651.07,82429.90
13-May-2025,82249.60,82572.81,81043.69,81148.22
14-May-2025,81278.49,81691.87,80910.03,81330.56
15-May-2025,81354.43,82718.14,80762.16,82530.74
16-May-2025,82392.63,82514.81,82146.95,82330.59
19-May-2025,82354.92,82424.10,81964.57,82059.42
20-May-2025,82116.17,82250.42,81153.70,81186.44
21-May-2025,81327.61,82021.64,81237.06,81596.63
22-May-2025,81323.05,81323.24,80489.92,80951.99
23-May-2025,80897.00,81905.17,80897.00,81721.08
26-May-2025,81928.95,82492.24,81867.23,82176.45
27-May-2025,82038.20,82410.52,81121.70,81551.63
28-May-2025,81457.61,81613.36,81244.02,81312.32
29-May-2025,81591.03,81816.89,81106.98,81633.02
30-May-2025,81465.69,81698.21,81286.45,81451.01
2-June-2025,81214.42,81474.26,80654.26,81373.75
3-June-2025,81492.50,81774.23,80575.09,80737.51
4-June-2025,80777.65,81087.29,80705.18,80998.25
5-June-2025,81196.08,81911.13,80983.73,81442.04
6-June-2025,81434.24,82299.89,81140.11,82188.99
9-June-2025,82574.55,82669.00,82369.24,82445.21
10-June-2025,82643.73,82680.79,82240.40,82391.72
11-June-2025,82473.02,82783.51,82308.91,82515.14
12-June-2025,82571.67,82661.04,81523.16,81691.98
13-June-2025,80427.81,81238.68,80354.59,81118.60
16-June-2025,81034.45,81865.82,81012.31,81796.15
17-June-2025,81869.47,81890.15,81427.01,81583.30
18-June-2025,81314.62,81858.97,81237.01,81444.66
19-June-2025,81403.94,81583.94,81191.04,81361.87
20-June-2025,81354.85,82494.49,81323.20,82408.17
23-June-2025,81704.07,82169.67,81476.76,81896.79
24-June-2025,82534.61,83018.16,81900.12,82055.11
25-June-2025,82448.80,82815.91,82339.57,82755.51
26-June-2025,82882.92,83812.09,82816.26,83755.87
27-June-2025,83774.45,84089.35,83645.41,84058.90
30-June-2025,84027.33,84099.53,83482.13,83606.46
1-July-2025,83685.66,83874.29,83572.51,83697.29
2-July-2025,83790.72,83935.01,83150.77,83409.69
3-July-2025,83540.74,83850.09,83186.74,83239.47
4-July-2025,83306.81,83477.86,83015.83,83432.89
7-July-2025,83398.08,83516.82,83262.23,83442.50
8-July-2025,83387.03,83812.31,83320.95,83712.51
9-July-2025,83625.89,83781.36,83382.28,83536.08
10-July-2025,83658.20,83742.28,83134.97,83190.28
11-July-2025,82820.76,83040.74,82442.25,82500.47
14-July-2025,82537.87,82537.87,82010.38,82253.46
15-July-2025,82233.16,82743.62,82221.74,82570.91
16-July-2025,82534.66,82784.75,82342.94,82634.48
17-July-2025,82753.53,82757.09,82219.27,82259.24
18-July-2025,82193.62,82334.75,81608.13,81757.73
21-July-2025,81918.53,82274.03,81518.66,82200.34
22-July-2025,82527.43,82538.17,82110.63,82186.81
23-July-2025,82451.87,82786.43,82279.73,82726.64
24-July-2025,82779.95,82784.24,82047.22,82184.17
25-July-2025,82065.76,82069.51,81397.69,81463.09
28-July-2025,81299.97,81557.41,80776.44,80891.02
29-July-2025,80620.25,81429.88,80575.45,81337.95
30-July-2025,81594.52,81618.96,81187.06,81481.86
31-July-2025,80695.50,81803.27,80695.15,81185.58
1-August-2025,81074.41,81317.51,80495.57,80599.91
4-August-2025,80765.83,81093.19,80500.51,81018.72
5-August-2025,80946.43,81010.49,80554.40,80710.25
6-August-2025,80694.98,80834.43,80448.82,80543.99
7-August-2025,80262.98,80737.55,79811.29,80623.26
8-August-2025,80478.01,80550.40,79775.84,79857.79
11-August-2025,79885.36,80636.05,79772.46,80604.08
12-August-2025,80508.51,80997.67,80164.36,80235.59
13-August-2025,80492.17,80683.74,80319.00,80539.91
14-August-2025,80625.28,80751.18,80489.86,80597.66
18-August-2025,81315.79,81765.77,81202.42,81273.75
19-August-2025,81319.11,81755.88,81315.44,81644.39
20-August-2025,81671.47,81985.62,81494.50,81857.84
21-August-2025,82220.46,82231.17,81921.22,82000.71
22-August-2025,81951.48,81993.61,81291.77,81306.85
25-August-2025,81501.06,81799.06,81364.86,81635.91
26-August-2025,81377.39,81450.28,80685.98,80786.54
28-August-2025,80754.66,80775.71,80013.02,80080.57
29-August-2025,80010.83,80310.74,79741.76,79809.65
1-September-2025,79828.99,80406.84,79818.38,80364.49
2-September-2025,80520.09,80761.14,80008.50,80157.88
3-September-2025,80295.99,80671.28,80004.60,80567.71
4-September-2025,81456.67,81456.67,80608.94,80718.01
5-September-2025,81012.42,81036.56,80321.19,80710.76
8-September-2025,80904.40,81171.38,80733.07,80787.30
9-September-2025,81129.69,81181.37,80927.97,81101.32
10-September-2025,81504.36,81643.88,81235.42,81425.15
11-September-2025,81217.30,81642.22,81216.91,81548.73
12-September-2025,81758.95,81992.85,81641.38,81904.70
15-September-2025,81925.51,81998.51,81744.70,81785.74
16-September-2025,81852.11,82443.48,81779.94,82380.69
17-September-2025,82506.40,82741.95,82490.47,82693.71
18-September-2025,83108.92,83141.21,82704.92,83013.96
19-September-2025,82946.04,82978.63,82485.92,82626.23
