Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-April-2026,927.70,933.00,918.45,927.95,922.976390685640362225,3092,246,2853843.00,,,14.55,0.25
20-April-2026,930.95,931.85,916.00,919.45,923.749020568070519098,4084,328,3772591.00,2297,56.24,15.85,-11.50
17-April-2026,919.70,930.40,913.25,926.95,922.997818023128954833,4583,380,4230099.00,1847,40.30,17.15,7.25
16-April-2026,919.95,921.35,906.60,918.70,916.286936374977722331,5611,583,5141286.00,3503,62.43,14.75,-1.25
15-April-2026,944.65,944.65,903.00,906.75,916.748435075704884703,18691,1485,17134945.00,9210,49.28,41.65,-37.90
13-April-2026,880.00,903.80,866.00,889.30,889.157231555880204528,5476,397,4869025.00,2726,49.78,37.80,9.30
10-April-2026,882.00,920.90,880.00,890.10,899.070592508879560865,24776,1088,22275373.00,6412,25.88,40.90,8.10
9-April-2026,893.35,893.35,870.00,873.50,882.241388207973164752,7751,525,6838253.00,4060,52.38,23.35,-19.85
8-April-2026,880.00,900.50,861.50,882.25,885.751017388087310395,13515,1145,11970925.00,7858,58.14,39.00,2.25
7-April-2026,845.00,865.00,832.00,853.25,853.651902410688353180,6886,447,5878247.00,1835,26.65,33.00,8.25
6-April-2026,869.20,869.20,820.00,842.40,831.602130616025937934,4318,483,3590858.00,1590,36.82,49.20,-26.80
2-April-2026,815.25,850.00,789.40,838.95,817.661697722567287784,16905,870,13822571.00,6769,40.04,60.60,23.70
1-April-2026,790.40,879.10,763.15,831.20,848.631316266603602538,202968,8289,172245001.00,67495,33.25,115.95,40.80
30-March-2026,755.75,773.70,744.00,748.15,755.354115927910375060,16424,1718,12405936.00,9134,55.61,29.70,-7.60
27-March-2026,803.25,805.15,770.70,775.90,786.070133388912046686,9596,990,7543129.00,5698,59.38,34.45,-27.35
25-March-2026,792.55,817.90,792.05,810.10,810.874453193350831146,6858,488,5560977.00,3866,56.37,25.85,17.55
24-March-2026,790.05,803.20,774.05,791.80,788.178640776699029126,6695,697,5276856.00,3378,50.46,29.15,1.75
23-March-2026,819.50,823.65,783.30,787.20,795.337645945093089302,3169,488,2520425.00,1853,58.47,40.35,-32.30
20-March-2026,822.60,842.45,820.95,830.65,827.972642713842786795,5483,565,4539774.00,3804,69.38,21.50,8.05
19-March-2026,832.00,847.30,821.40,822.55,833.208063902624572080,5258,448,4381008.00,1904,36.21,25.90,-9.45
18-March-2026,825.30,838.35,821.00,830.45,829.200707785642062689,3956,470,3280318.00,2076,52.48,17.35,5.15
17-March-2026,860.90,862.85,825.30,827.95,835.178479164326631472,8903,1158,7435594.00,5754,64.63,37.55,-32.95
16-March-2026,800.05,865.25,800.05,860.85,835.217984496124031007,9675,1111,8080734.00,4179,43.19,65.20,60.80
13-March-2026,877.25,898.65,835.00,838.65,854.040759709773794280,4686,596,4002035.00,2432,51.90,63.65,-38.60
12-March-2026,880.70,907.75,869.60,891.95,890.818515123739688359,14183,810,12634479.00,11620,81.93,38.15,11.25
11-March-2026,916.80,921.05,887.00,889.65,901.724464374688589935,6021,757,5429283.00,3715,61.70,34.05,-27.15
10-March-2026,915.70,929.85,910.90,912.60,914.664940603106914407,3283,269,3002845.00,2178,66.34,18.95,-3.10
9-March-2026,927.20,935.00,907.05,915.45,918.984680721977855301,6593,657,6058866.00,2667,40.45,27.95,-11.75
6-March-2026,935.70,944.05,927.00,937.20,936.091918911413496251,3601,392,3370867.00,2086,57.93,17.05,1.50
5-March-2026,931.10,944.20,925.40,933.05,931.868254370407904737,3947,463,3678084.00,2418,61.26,18.80,1.95
4-March-2026,955.50,955.50,935.00,938.50,942.566961651917404129,5085,596,4792953.00,2740,53.88,20.50,-17.00
2-March-2026,960.65,984.35,951.15,962.80,964.477018633540372670,2415,405,2329212.00,1327,54.95,33.20,2.15
27-February-2026,1025.10,1025.15,979.05,987.90,997.860583734769056389,3529,466,3521450.00,2105,59.65,46.10,-37.20
26-February-2026,1031.15,1042.00,1015.00,1024.70,1029.774776016540317022,7255,708,7471016.00,3019,41.61,27.00,-6.45
25-February-2026,1047.60,1047.60,1025.25,1037.05,1035.497888315344908493,2131,286,2206646.00,977,45.85,22.35,-10.55
24-February-2026,1035.50,1059.00,1024.25,1047.50,1040.092241905925473427,3274,394,3405262.00,2171,66.31,34.75,12.00
23-February-2026,1039.20,1060.30,1034.85,1050.05,1049.248197448696616749,3606,400,3783589.00,2428,67.33,25.45,10.85
20-February-2026,1008.85,1044.50,1008.85,1033.75,1024.460873470304255080,8907,790,9124873.00,6245,70.11,35.65,24.90
19-February-2026,985.20,1062.90,985.20,1027.60,1036.371399866041527126,47776,3955,49513680.00,22278,46.63,77.70,42.40
18-February-2026,980.10,988.10,974.75,984.70,981.199493670886075949,1975,295,1937869.00,1201,60.81,13.35,4.60
17-February-2026,964.35,980.55,964.35,980.05,977.201949860724233983,2154,248,2104893.00,1491,69.22,16.20,15.70
16-February-2026,967.05,980.05,956.50,972.35,969.285519125683060109,4392,453,4257102.00,2587,58.90,23.55,5.30
13-February-2026,1010.00,1010.00,959.00,969.05,982.112299465240641711,3179,387,3122135.00,2332,73.36,51.00,-40.95
12-February-2026,1060.85,1060.85,987.60,1011.00,1004.121636167922497308,3716,364,3731316.00,1680,45.21,73.25,-49.85
11-February-2026,1039.70,1048.75,1011.20,1015.75,1022.766056378959604766,3441,318,3519338.00,2471,71.81,37.55,-23.95
10-February-2026,1043.40,1056.00,1024.50,1037.95,1036.886908619572261827,3086,419,3199833.00,1646,53.34,31.50,-5.45
9-February-2026,1029.90,1045.00,997.50,1042.30,1030.095143986448334274,3542,351,3648597.00,1952,55.11,47.50,12.40
6-February-2026,991.15,998.30,983.30,993.45,990.417304296645085344,1699,260,1682719.00,842,49.56,15.00,2.30
5-February-2026,1005.50,1025.00,990.40,998.70,1004.977498345466578424,1511,276,1518521.00,736,48.71,34.60,-6.80
4-February-2026,999.25,1017.70,999.25,1010.95,1010.059133489461358313,1708,227,1725181.00,791,46.31,18.45,11.70
3-February-2026,1001.20,1038.00,989.55,1005.55,1015.192655406825986404,14269,1217,14485784.00,7565,53.02,48.45,4.35
2-February-2026,981.90,995.00,956.45,992.90,973.802967359050445103,3370,447,3281716.00,1478,43.86,38.55,11.00
1-February-2026,965.05,983.30,963.00,980.90,976.733399405351833498,2018,316,1971048.00,869,43.06,20.30,15.85
30-January-2026,982.15,988.95,970.00,975.45,980.722935779816513761,2180,301,2137976.00,732,33.58,18.95,-6.70
29-January-2026,982.00,994.90,972.95,988.05,983.928377855207123499,2583,303,2541487.00,912,35.31,21.95,6.05
28-January-2026,965.30,1000.00,960.00,990.95,982.990103463787674313,6669,691,6555561.00,4698,70.45,40.00,25.65
27-January-2026,973.65,975.95,939.90,971.45,956.042614454362222862,6946,703,6640672.00,3287,47.32,36.05,-2.20
23-January-2026,1000.35,1003.40,965.60,973.30,985.727067911168329578,3107,449,3062654.00,2014,64.82,37.80,-27.05
22-January-2026,1002.00,1007.50,990.95,1005.35,1001.700197889182058047,3032,247,3037155.00,1776,58.58,16.55,3.35
21-January-2026,1000.75,1010.50,966.00,1004.85,987.702777428679150433,7957,595,7859151.00,2528,31.77,44.50,4.10
20-January-2026,997.45,1019.90,985.00,1001.15,1003.112501421908770333,8791,872,8818362.00,3625,41.24,34.90,3.70
19-January-2026,997.65,1014.25,995.00,997.45,1002.406201550387596899,1290,131,1293104.00,777,60.23,19.25,-0.20
16-January-2026,1003.00,1020.00,998.75,1015.85,1009.802768166089965397,1445,137,1459165.00,898,62.15,21.25,12.85
14-January-2026,999.00,1012.45,990.80,1002.45,1001.440600122473974280,3266,421,3270705.00,2018,61.79,21.65,3.45
13-January-2026,1006.00,1011.45,997.00,1000.80,1001.761022927689594356,2268,244,2271994.00,1134,50.00,14.45,-5.20
12-January-2026,1041.85,1041.85,999.60,1014.40,1009.715883668903803131,3129,398,3159401.00,1652,52.80,42.25,-27.45
9-January-2026,1015.00,1026.90,1005.90,1023.50,1015.676439232409381663,3752,382,3810818.00,1793,47.79,21.00,8.50
8-January-2026,1057.05,1062.95,1011.00,1023.15,1040.522497704315886134,11979,1197,12464419.00,4513,37.67,51.95,-33.90
7-January-2026,1024.05,1059.00,1011.65,1054.35,1039.099243435692033822,6741,740,7004568.00,3316,49.19,47.35,30.30
6-January-2026,998.35,1023.35,997.60,1020.20,1013.842672413793103448,1856,216,1881692.00,1045,56.30,25.75,21.85
5-January-2026,1012.30,1031.05,1000.00,1005.80,1016.378343949044585987,3925,406,3989285.00,2215,56.43,31.05,-6.50
2-January-2026,1034.40,1035.30,1010.25,1021.20,1025.051612903225806451,5425,588,5560905.00,2261,41.68,25.05,-13.20
1-January-2026,1002.00,1036.90,995.80,1033.40,1019.919380844888745565,3101,392,3162770.00,1372,44.24,41.10,31.40
31-December-2025,964.55,1014.85,964.55,1001.95,1002.769023689877961234,5572,292,5587429.00,3131,56.19,50.30,37.40
30-December-2025,994.20,994.20,946.00,964.40,969.700542986425339366,11050,934,10715191.00,4573,41.38,48.20,-29.80
29-December-2025,990.40,1005.85,990.40,994.10,998.995459132189707366,1982,265,1980009.00,991,50.00,15.45,3.70
26-December-2025,999.00,1009.00,997.55,1007.15,1001.815265486725663716,904,138,905641.00,574,63.50,11.45,8.15
24-December-2025,1011.60,1011.70,1001.60,1002.45,1006.020713463751438434,869,66,874232.00,554,63.75,10.10,-9.15
23-December-2025,991.05,1010.85,990.00,1005.15,1002.590318772136953955,3388,272,3396776.00,1512,44.63,20.85,14.10
22-December-2025,993.10,999.75,992.55,995.75,996.452916507815478459,2623,262,2613696.00,1488,56.73,7.20,2.65
19-December-2025,1009.50,1015.35,988.30,993.05,999.655019059720457433,4722,619,4720371.00,2048,43.37,27.05,-16.45
18-December-2025,1008.55,1011.70,990.25,1009.20,1001.446219382321618743,3756,349,3761432.00,2266,60.33,21.45,0.65
17-December-2025,1004.45,1018.90,1004.45,1012.80,1011.000583430571761960,1714,213,1732855.00,491,28.65,14.45,8.35
16-December-2025,1006.75,1022.00,1006.75,1014.75,1017.771592091571279916,1922,228,1956157.00,937,48.75,15.25,8.00
15-December-2025,1002.05,1022.00,1002.05,1018.95,1014.221561969439728353,2356,301,2389506.00,1209,51.32,19.95,16.90
12-December-2025,1012.75,1022.50,1005.20,1017.05,1015.554488517745302713,2395,303,2432253.00,1156,48.27,17.30,4.30
11-December-2025,1043.85,1043.85,1010.65,1012.75,1023.497863516400653512,15914,330,16287945.00,14376,90.34,33.20,-31.10
10-December-2025,1022.35,1069.40,1021.70,1030.50,1044.264986685717997012,15397,866,16078548.00,7842,50.93,47.70,8.15
9-December-2025,1012.50,1020.70,1002.05,1019.90,1013.176312247644683714,1486,170,1505580.00,914,61.51,18.65,7.40
8-December-2025,1000.05,1018.00,996.35,1012.50,1008.713675213675213675,5148,342,5192858.00,3445,66.92,21.65,12.45
5-December-2025,1008.30,1019.75,995.00,1014.55,1005.741258741258741258,4433,456,4458451.00,2963,66.84,24.75,6.25
4-December-2025,1035.00,1042.90,1000.35,1008.30,1015.027482823235477826,4803,186,4875177.00,3473,72.31,42.55,-26.70
3-December-2025,1040.05,1044.95,1029.35,1036.45,1035.537063953488372093,1376,121,1424899.00,661,48.04,15.60,-3.60
2-December-2025,1045.00,1052.00,1030.60,1044.10,1041.317354478284375563,5549,321,5778270.00,3428,61.78,21.40,-0.90
1-December-2025,1067.95,1067.95,1033.00,1051.05,1044.772230889235569422,1923,179,2009097.00,1191,61.93,34.95,-16.90
28-November-2025,1046.95,1054.00,1043.00,1050.25,1048.705882352941176470,1190,227,1247960.00,581,48.82,11.00,3.30
27-November-2025,1052.30,1052.30,1034.60,1046.75,1040.874015748031496062,1016,135,1057528.00,678,66.73,17.70,-5.55
26-November-2025,1021.50,1063.25,1017.00,1052.25,1039.290222049084534476,2567,278,2667858.00,1497,58.32,46.25,30.75
25-November-2025,1018.15,1038.30,1013.00,1021.50,1022.936511857707509881,4048,550,4140847.00,1874,46.29,25.30,3.35
24-November-2025,1068.00,1068.00,1014.00,1018.40,1034.539992345962495216,2613,336,2703253.00,1584,60.62,54.00,-49.60
21-November-2025,1084.45,1084.45,1038.00,1047.35,1047.608008429926238145,1898,124,1988360.00,1154,60.80,46.45,-37.10
20-November-2025,1056.25,1062.75,1046.40,1047.75,1049.684630738522954091,1503,234,1577676.00,695,46.24,16.35,-8.50
19-November-2025,1058.85,1065.90,1035.15,1058.75,1049.486609102883067466,6833,753,7171142.00,2865,41.93,30.75,-0.10
18-November-2025,1084.85,1084.85,1053.60,1056.50,1061.920612813370473537,2154,477,2287377.00,1400,65.00,31.25,-28.35
17-November-2025,1067.45,1079.10,1062.80,1075.60,1070.817981577893472166,4994,582,5347665.00,2443,48.92,16.30,8.15
14-November-2025,1062.50,1074.15,1052.55,1065.05,1062.452178089305645955,11218686,307,11919317376.00,11217425,99.99,21.60,2.55
13-November-2025,1066.40,1075.00,1060.30,1062.45,1068.457725947521865889,2401,396,2565367.00,1369,57.02,14.70,-3.95
12-November-2025,1069.85,1070.10,1037.80,1067.95,1054.048880842659644502,6076,559,6404401.00,2372,39.04,32.30,-1.90
11-November-2025,1072.70,1077.00,1052.55,1069.90,1067.452161913523459061,2174,216,2320641.00,1218,56.03,24.45,-2.80
10-November-2025,1056.65,1083.90,1048.90,1060.10,1061.084779464931308749,5532,482,5869921.00,3259,58.91,35.00,3.45
7-November-2025,1082.00,1082.00,1056.35,1075.70,1067.967950144669485866,4493,415,4798380.00,1729,38.48,25.65,-6.30
6-November-2025,1101.60,1106.65,1082.00,1085.10,1092.696044066099148723,1997,316,2182114.00,835,41.81,24.65,-16.50
4-November-2025,1128.90,1130.20,1103.35,1106.35,1108.897160399079048349,6515,624,7224465.00,3986,61.18,26.85,-22.55
3-November-2025,1084.75,1133.85,1084.75,1128.90,1121.235819562304600267,2239,379,2510447.00,1095,48.91,49.10,44.15
31-October-2025,1098.70,1127.45,1096.00,1104.35,1116.155566438132549787,6126,511,6837569.00,4301,70.21,31.45,5.65
30-October-2025,1094.15,1102.35,1078.90,1096.00,1087.905297425273749630,3379,363,3676032.00,1217,36.02,23.45,1.85
29-October-2025,1095.00,1099.50,1077.20,1094.70,1088.275654787462430227,2329,373,2534594.00,793,34.05,22.30,-0.30
28-October-2025,1076.70,1097.10,1067.20,1089.40,1079.947643979057591623,6876,812,7425720.00,3525,51.27,29.90,12.70
27-October-2025,1080.00,1101.05,1078.60,1096.00,1086.149820215741110667,2503,340,2718633.00,1572,62.80,22.45,16.00
24-October-2025,1085.05,1101.40,1072.60,1086.45,1083.800672494956287827,7435,700,8058058.00,3720,50.03,28.80,1.40
23-October-2025,1106.00,1111.00,1086.00,1095.50,1097.706961325966850828,4525,588,4967124.00,2329,51.47,25.00,-10.50
21-October-2025,1095.00,1115.00,1086.95,1108.20,1103.008854961832061068,3275,434,3612354.00,2142,65.40,28.05,13.20
20-October-2025,1081.90,1105.35,1078.00,1102.30,1092.465379494007989347,7510,846,8204415.00,4344,57.84,27.35,20.40
17-October-2025,1124.35,1124.35,1055.80,1083.90,1071.575780654988575780,5252,390,5627916.00,954,18.16,68.55,-40.45
16-October-2025,1107.95,1107.95,1063.40,1082.25,1076.078322385042950985,1979,359,2129559.00,691,34.92,44.55,-25.70
15-October-2025,1119.95,1119.95,1049.65,1070.25,1061.654068566707971912,4842,634,5140529.00,1679,34.68,70.30,-49.70
14-October-2025,1050.05,1070.30,1032.80,1062.25,1049.995938985736925515,10096,804,10600759.00,6386,63.25,37.50,12.20
13-October-2025,1057.35,1068.20,1045.00,1048.80,1054.794147582697201017,3930,460,4145341.00,2823,71.83,23.20,-8.55
10-October-2025,1067.00,1086.90,1056.45,1076.50,1072.261147660818713450,5472,833,5867413.00,2732,49.93,30.45,9.50
9-October-2025,1068.75,1083.90,1055.50,1066.00,1066.118755118755118755,13431,1191,14319041.00,5514,41.05,28.40,-2.75
8-October-2025,1107.05,1123.60,1066.15,1073.25,1089.588226415094339622,13250,1836,14437044.00,6675,50.38,57.45,-33.80
7-October-2025,1136.40,1140.00,1103.05,1107.00,1115.021650187521309239,5866,1017,6540717.00,4536,77.33,36.95,-29.40
6-October-2025,1160.20,1160.25,1121.50,1127.45,1136.013386499572771290,3511,541,3988543.00,2496,71.09,38.75,-32.75
3-October-2025,1170.15,1195.05,1156.65,1160.15,1172.650309527404499471,6623,707,7766463.00,4138,62.48,38.40,-10.00
1-October-2025,1195.00,1215.55,1170.00,1189.65,1190.197014925373134328,5360,679,6379456.00,2795,52.15,45.55,-5.35
30-September-2025,1182.70,1205.00,1182.70,1202.80,1197.261410788381742738,723,98,865620.00,445,61.55,22.30,20.10
29-September-2025,1195.95,1201.15,1190.00,1193.50,1195.726425438596491228,1824,198,2181005.00,764,41.89,11.15,-2.45
26-September-2025,1204.00,1212.80,1190.00,1194.30,1197.240981595092024539,4075,480,4878757.00,2508,61.55,22.80,-9.70
25-September-2025,1180.05,1242.00,1180.05,1214.10,1222.824736636753804135,12815,1046,15670499.00,5928,46.26,61.95,34.05
24-September-2025,1175.00,1198.00,1175.00,1190.95,1190.893210508358921869,5862,532,6981016.00,3122,53.26,23.00,15.95
23-September-2025,1185.15,1185.15,1171.25,1181.45,1180.133067896060352053,4772,789,5631595.00,3715,77.85,13.90,-3.70
22-September-2025,1180.00,1193.85,1168.30,1178.00,1180.604868913857677902,5874,557,6934873.00,3413,58.10,25.55,-2.00
19-September-2025,1217.35,1220.60,1161.10,1177.65,1178.162828355523569629,11116,1192,13096458.00,5315,47.81,59.50,-39.70
18-September-2025,1202.70,1235.50,1202.70,1217.40,1219.790228903313973351,2927,282,3570326.00,1300,44.41,32.80,14.70
17-September-2025,1223.00,1225.00,1195.00,1217.05,1209.081926278240190249,8410,585,10168379.00,3645,43.34,30.00,-5.95
16-September-2025,1255.95,1255.95,1217.70,1222.90,1229.725095785440613026,3132,334,3851499.00,2068,66.03,38.25,-33.05
15-September-2025,1210.00,1266.45,1209.10,1243.25,1245.683359466875735005,10204,885,12710953.00,4677,45.83,57.35,33.25
12-September-2025,1229.90,1229.90,1199.70,1209.45,1208.973101265822784810,1896,230,2292213.00,716,37.76,30.20,-20.45
11-September-2025,1192.70,1219.35,1192.70,1207.65,1208.664779161947904869,1766,355,2134502.00,754,42.70,26.65,14.95
10-September-2025,1202.70,1228.00,1201.50,1206.50,1213.088575742325113236,3974,340,4820814.00,2937,73.91,26.50,3.80
9-September-2025,1207.00,1223.30,1193.35,1214.80,1207.434660684240044868,5349,650,6458568.00,3089,57.75,29.95,7.80
8-September-2025,1226.05,1226.05,1190.40,1207.00,1202.323814962878355225,1751,294,2105269.00,775,44.26,35.65,-19.05
5-September-2025,1195.70,1205.00,1183.35,1198.20,1196.998664292074799643,2246,304,2688459.00,509,22.66,21.65,2.50
4-September-2025,1216.55,1218.90,1183.50,1195.95,1194.960248876598686484,2893,304,3457020.00,1706,58.97,35.40,-20.60
3-September-2025,1194.95,1206.65,1187.55,1200.60,1197.693984039287906691,3258,310,3902087.00,1101,33.79,19.10,5.65
2-September-2025,1226.95,1226.95,1190.50,1198.75,1205.054104796040279911,5859,791,7060412.00,3215,54.87,36.45,-28.20
1-September-2025,1226.80,1231.45,1210.00,1224.65,1219.645021645021645021,2310,501,2817380.00,1167,50.52,21.45,-2.15
29-August-2025,1247.10,1254.00,1223.95,1228.25,1235.802341137123745819,2990,367,3695049.00,1733,57.96,30.05,-18.85
28-August-2025,1298.15,1298.15,1248.85,1250.60,1256.859027777777777777,2880,291,3619754.00,2076,72.08,49.30,-47.55
26-August-2025,1299.35,1299.35,1267.95,1269.70,1274.025222551928783382,1348,182,1717386.00,576,42.73,31.40,-29.65
25-August-2025,1278.85,1293.70,1278.85,1284.25,1286.129471890971039182,4109,654,5284706.00,2216,53.93,14.85,5.40
22-August-2025,1281.50,1305.00,1281.50,1287.95,1292.365202773691952090,4759,483,6150366.00,1558,32.74,23.50,6.45
21-August-2025,1264.45,1297.75,1264.45,1285.00,1286.012393280088129991,3631,557,4669511.00,1898,52.27,33.30,20.55
20-August-2025,1287.00,1325.00,1280.00,1287.60,1303.362039572247765666,19357,1941,25229179.00,10837,55.98,45.00,0.60
19-August-2025,1277.60,1297.00,1262.45,1287.00,1284.169875042215467747,11844,1150,15209708.00,6005,50.70,34.55,9.40
18-August-2025,1199.95,1280.00,1193.25,1271.40,1241.717560725866090221,52737,4425,65484459.00,30204,57.27,86.75,71.45
14-August-2025,1168.95,1195.50,1151.45,1182.45,1175.148513238289205702,12275,724,14424948.00,3867,31.50,44.05,13.50
13-August-2025,1100.35,1218.35,1098.55,1175.25,1180.344827586206896551,60175,4339,71027250.00,24201,40.22,119.80,74.90
12-August-2025,1095.00,1106.60,1092.00,1096.10,1099.925982644206227667,1959,141,2154755.00,1601,81.73,14.60,1.10
11-August-2025,1099.00,1110.55,1079.00,1093.25,1089.141683778234086242,1948,199,2121648.00,1059,54.36,31.55,-5.75
8-August-2025,1095.55,1110.00,1095.55,1099.90,1100.716125256072578285,3417,641,3761147.00,2033,59.50,14.45,4.35
7-August-2025,1133.70,1141.45,1095.60,1110.25,1112.559086395233366434,3021,305,3361041.00,1339,44.32,45.85,-23.45
6-August-2025,1149.95,1149.95,1131.95,1137.15,1138.210175145954962468,1199,157,1364714.00,384,32.03,18.00,-12.80
