Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-April-2026,1342.95,1345.40,1325.15,1327.65,1332.384021018811530814,392791,14829,523348452.00,249066,63.41,20.25,-15.30
23-April-2026,1348.90,1355.55,1340.25,1343.10,1346.917355435592141930,3243952,41740,4369335249.00,1215733,37.48,15.30,-5.80
22-April-2026,1356.35,1366.20,1350.00,1362.90,1359.488546030594814341,419156,16874,569837781.00,246273,58.75,16.20,6.55
21-April-2026,1361.85,1369.70,1350.50,1353.65,1357.810541354307484330,455672,15974,618716245.00,234862,51.54,19.20,-8.20
20-April-2026,1362.40,1373.00,1352.45,1362.60,1364.929361697934083838,608834,25053,831015403.00,350698,57.60,20.55,0.20
17-April-2026,1340.00,1367.70,1340.00,1365.10,1353.118369558144788605,1367801,24397,1850796659.00,1011388,73.94,27.70,25.10
16-April-2026,1351.00,1354.25,1330.15,1343.45,1339.144146835053923201,3903700,74906,5227617006.00,555799,14.24,24.10,-7.55
15-April-2026,1339.00,1346.75,1334.10,1344.25,1339.633941940361417570,747335,26933,1001155332.00,226683,30.33,12.65,5.25
13-April-2026,1323.95,1327.75,1310.05,1314.55,1316.562136601930179911,671440,22650,883992481.00,361764,53.88,17.70,-9.40
10-April-2026,1339.85,1352.10,1331.60,1350.15,1347.352984348325542064,501416,12415,675584344.00,311986,62.22,20.50,10.30
9-April-2026,1344.20,1350.20,1325.95,1329.40,1331.293186355887052300,3530519,51388,4700155889.00,491856,13.93,24.25,-14.80
8-April-2026,1350.00,1350.50,1326.50,1347.75,1341.652271146111634838,1943336,73750,2607281158.00,1125402,57.91,24.00,-2.25
7-April-2026,1299.65,1307.90,1291.45,1304.65,1298.051945099632120454,866588,31963,1124876239.00,454027,52.39,16.45,5.00
6-April-2026,1351.60,1360.80,1290.00,1304.75,1305.661493706575039807,1829449,74704,2388641114.00,992602,54.26,70.80,-46.85
2-April-2026,1357.50,1357.70,1328.00,1350.85,1347.373266020504658847,1814612,55636,2444959697.00,558992,30.80,29.70,-6.65
