Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-April-2026,1114.00,1115.00,1105.95,1112.15,1111.165725583164131041,449659,12002,499645669.00,261040,58.05,9.05,-1.85
20-April-2026,1077.10,1120.90,1075.55,1107.60,1107.106495384353412634,1385938,33952,1534380962.00,678599,48.96,45.35,30.50
17-April-2026,1067.50,1082.00,1061.35,1080.35,1072.767142293158874287,709240,17299,760849368.00,421408,59.42,20.65,12.85
16-April-2026,1079.95,1084.00,1061.60,1067.50,1070.791485397769134479,2295163,51351,2457640998.00,397704,17.33,22.40,-12.45
15-April-2026,1079.50,1087.75,1068.10,1071.35,1074.888432472550748839,894651,30820,961650011.00,409735,45.80,19.65,-8.15
13-April-2026,1040.10,1067.00,1030.30,1063.20,1046.189132421350328306,1015516,19255,1062421803.00,638668,62.89,36.70,23.10
10-April-2026,1051.15,1069.25,1046.95,1066.70,1058.408214204990972941,716734,17347,758597153.00,400288,55.85,22.30,15.55
9-April-2026,1062.00,1064.60,1038.00,1040.90,1044.236358075066556508,2373547,48162,2478544075.00,243612,10.26,26.60,-21.10
8-April-2026,1076.60,1078.50,1059.40,1061.10,1070.012253893623273582,1429260,33347,1529325714.00,621779,43.50,19.10,-15.50
7-April-2026,1027.95,1033.55,1012.45,1030.30,1022.953479855626127920,341336,10361,349170849.00,127880,37.46,21.10,2.35
6-April-2026,1019.45,1035.75,1005.10,1032.65,1020.420825371459871529,795981,26226,812235589.00,324047,40.71,30.65,13.20
2-April-2026,999.95,1026.00,978.00,1019.45,1002.660882412728002895,1411879,47417,1415635844.00,316105,22.39,48.00,19.50
1-April-2026,1005.25,1031.00,998.60,1017.90,1013.695536457588778916,951352,29504,964381276.00,439152,46.16,32.40,12.65
30-March-2026,1000.05,1009.40,976.20,979.80,991.630923642077862483,1211649,46560,1201508617.00,532957,43.99,33.20,-20.25
27-March-2026,1053.95,1055.25,1013.10,1020.05,1035.983691902317116236,736260,21813,762753353.00,351684,47.77,42.15,-33.90
25-March-2026,1045.15,1065.40,1043.00,1060.55,1057.915195556074176789,1688237,46508,1786011576.00,475055,28.14,22.40,15.40
24-March-2026,1054.20,1058.40,1020.50,1030.80,1038.111181270267433445,1810170,41644,1879157717.00,1051791,58.10,37.90,-23.40
23-March-2026,1031.25,1045.40,1014.00,1031.70,1027.781136704456245899,1007597,35106,1035589190.00,386160,38.32,31.40,0.45
20-March-2026,1058.00,1085.00,1054.05,1058.40,1071.308016140224626693,778180,25962,833670472.00,357477,45.94,30.95,0.40
19-March-2026,1041.05,1059.95,1041.05,1048.95,1049.940476579013552091,1041758,34999,1093783891.00,194594,18.68,18.90,7.90
18-March-2026,1069.00,1075.00,1061.10,1069.50,1068.125785202391556199,687084,24849,733892137.00,264580,38.51,13.90,0.50
17-March-2026,1073.40,1074.00,1047.20,1063.95,1057.801490896375145207,674896,18659,713905995.00,288218,42.71,26.80,-9.45
16-March-2026,1046.85,1073.00,1036.05,1066.55,1053.876594907674576249,615161,20384,648303780.00,239208,38.89,36.95,19.70
13-March-2026,1075.20,1081.00,1041.70,1046.80,1060.777943583325310484,830960,40747,881464040.00,425158,51.16,39.30,-28.40
12-March-2026,1079.95,1098.45,1070.65,1085.35,1081.036558007718651776,1306964,52999,1412875864.00,358320,27.42,27.80,5.40
11-March-2026,1117.60,1117.60,1087.50,1090.60,1101.716098365093441990,495013,24430,545363791.00,196577,39.71,30.10,-27.00
10-March-2026,1111.00,1120.50,1104.50,1112.35,1112.458584999797941490,1286756,21123,1431462759.00,712866,55.40,16.00,1.35
9-March-2026,1111.10,1113.60,1064.25,1098.70,1081.060570822864746672,1847193,70269,1996927519.00,825600,44.69,49.35,-12.40
6-March-2026,1166.70,1169.25,1139.75,1143.55,1152.516067808601243520,1029014,36738,1185955169.00,618729,60.13,29.50,-23.15
5-March-2026,1179.00,1183.50,1150.15,1171.35,1164.941219586252641669,1320661,39078,1538492436.00,347811,26.34,33.35,-7.65
4-March-2026,1170.00,1182.50,1157.55,1174.50,1166.125002789244672542,896300,36964,1045197840.00,469699,52.40,24.95,4.50
2-March-2026,1171.00,1197.00,1171.00,1189.40,1185.030870052235781510,1421248,36166,1684222754.00,941759,66.26,26.00,18.40
27-February-2026,1208.70,1211.95,1199.00,1202.00,1203.464595054489978763,1772436,12605,2133063973.00,1576695,88.96,12.95,-6.70
26-February-2026,1201.90,1215.00,1189.15,1209.20,1198.959380745934136229,1256867,45939,1506932480.00,664448,52.87,25.85,7.30
25-February-2026,1228.00,1229.05,1196.75,1200.20,1212.942090004859770056,2502176,32671,3034994587.00,2000379,79.95,32.30,-27.80
24-February-2026,1228.05,1234.80,1220.00,1223.85,1225.171138444494754419,870161,24908,1066096143.00,510010,58.61,14.80,-4.20
23-February-2026,1220.20,1231.25,1217.60,1227.80,1225.735212185870080606,911088,21419,1116752643.00,560050,61.47,13.65,7.60
20-February-2026,1206.05,1218.00,1201.55,1216.15,1209.609842936795786901,646555,21442,782079292.00,360751,55.80,16.45,10.10
19-February-2026,1222.00,1225.00,1199.55,1207.00,1211.421855767788567986,840062,31783,1017669467.00,350590,41.73,25.45,-15.00
18-February-2026,1222.25,1224.55,1214.10,1219.45,1219.595006599937648830,753795,21367,919324618.00,497362,65.98,10.45,-2.80
17-February-2026,1207.95,1225.50,1203.45,1213.25,1216.916543685909495560,922231,21703,1122278161.00,495582,53.74,22.05,5.30
16-February-2026,1191.80,1211.85,1185.00,1207.90,1193.480247534359741741,2066299,36781,2466087042.00,1507758,72.97,26.85,16.10
13-February-2026,1190.00,1201.00,1184.60,1198.80,1194.222049975565009093,998568,36406,1192511924.00,457095,45.78,16.40,8.80
12-February-2026,1182.00,1203.50,1175.25,1192.50,1191.904376600509558503,7064547,55500,8420264488.00,5629363,79.68,28.25,10.50
11-February-2026,1144.10,1187.70,1144.00,1183.00,1172.576320604914933837,2314375,54400,2713781322.00,1331774,57.54,43.70,38.90
10-February-2026,1151.00,1153.85,1138.05,1144.10,1143.895061361043047171,772966,23866,884191990.00,408787,52.89,15.80,-6.90
9-February-2026,1120.00,1148.00,1100.60,1145.95,1133.320930295448827686,2440558,72709,2765935463.00,1320941,54.12,47.40,25.95
6-February-2026,1071.00,1073.60,1051.00,1066.40,1061.210154878563651312,225015,9866,238788203.00,94582,42.03,22.60,-4.60
5-February-2026,1068.10,1081.30,1067.40,1073.40,1074.750267333098284837,1205425,36073,1295530841.00,622361,51.63,13.90,5.30
4-February-2026,1058.15,1073.80,1055.90,1068.10,1068.227502356061104170,365016,30299,389920130.00,197739,54.17,17.90,9.95
3-February-2026,1085.65,1090.00,1040.90,1064.25,1057.742329300428386949,419714,15593,443949264.00,204924,48.82,49.10,-21.40
2-February-2026,1020.05,1031.55,990.00,1028.45,1011.956798267204883331,406280,16685,411137808.00,147535,36.31,41.55,8.40
1-February-2026,1077.95,1083.95,987.70,1017.15,1041.621742967126300511,966639,33763,1006872200.00,371800,38.46,96.25,-60.80
30-January-2026,1064.45,1082.40,1060.50,1077.55,1070.449585306093310590,392217,10048,419848525.00,232524,59.28,21.90,13.10
29-January-2026,1063.80,1075.00,1060.00,1064.50,1067.182156166572980175,1248846,34849,1332746167.00,703192,56.31,15.00,0.70
28-January-2026,1055.20,1065.40,1044.10,1062.80,1059.001950535784735342,816186,32079,864342566.00,539759,66.13,21.30,7.60
27-January-2026,1034.90,1054.55,1030.00,1052.90,1040.149057761954453379,814550,13859,847253415.00,628848,77.20,24.55,18.00
23-January-2026,1053.90,1053.90,1025.55,1029.40,1037.889961517753907801,453196,10595,470367579.00,344739,76.07,28.35,-24.50
22-January-2026,1032.35,1055.35,1032.35,1048.25,1046.122343006254835368,762610,34409,797783360.00,472811,62.00,23.00,15.90
21-January-2026,1030.85,1040.45,1021.80,1028.15,1030.161760183347855694,546284,22199,562760887.00,367664,67.30,18.65,-2.70
20-January-2026,1044.80,1051.90,1033.30,1037.15,1041.043661862268994410,269961,10281,281041188.00,143892,53.30,18.60,-7.65
19-January-2026,1036.00,1043.55,1033.65,1038.20,1039.430513405548294678,270858,11529,281538070.00,142549,52.63,9.90,2.20
16-January-2026,1029.10,1047.50,1028.45,1042.30,1039.296561679301160386,536890,14149,557987931.00,339698,63.27,19.05,13.20
14-January-2026,1028.50,1030.00,1021.00,1028.30,1026.309638920604050921,549159,28325,563607175.00,182859,33.30,9.00,-0.20
13-January-2026,1019.40,1029.40,1015.70,1028.45,1023.970744459379025700,3578570,21930,3664350987.00,3361404,93.93,13.70,9.05
12-January-2026,1005.45,1016.90,996.05,1015.05,1006.848150692885344894,206672,7736,208087321.00,94893,45.91,20.85,9.60
9-January-2026,996.95,1008.00,994.55,1000.00,1001.869895043330283983,508305,9460,509255477.00,242961,47.80,13.45,3.05
8-January-2026,1005.15,1011.90,995.60,997.85,1000.432271280222775970,717133,52826,717442996.00,305575,42.61,16.30,-7.30
7-January-2026,1020.05,1022.00,1004.30,1007.10,1008.969976525327583601,522691,23238,527379526.00,307773,58.88,17.70,-12.95
6-January-2026,1008.90,1023.95,1005.00,1018.75,1018.811000227004318829,696022,18479,709114870.00,531224,76.32,18.95,9.85
5-January-2026,1000.10,1015.40,1000.10,1005.35,1007.351449943463512220,574850,19518,579075981.00,308506,53.67,15.30,5.25
2-January-2026,984.75,1009.30,984.05,999.35,992.103773065046441334,489973,9355,486104062.00,368305,75.17,25.25,14.60
1-January-2026,982.20,987.70,980.20,984.70,984.440413878918852677,848654,30953,835449295.00,384105,45.26,7.50,2.50
31-December-2025,976.00,985.45,973.55,982.20,982.654802462045470263,332569,17236,326800525.00,228361,68.67,11.90,6.20
30-December-2025,963.55,976.00,959.35,973.30,970.243371548522525431,340615,8062,330479446.00,267827,78.63,16.65,9.75
29-December-2025,965.95,968.30,961.45,964.85,964.824893475793846219,326921,11611,315421519.00,240104,73.44,6.85,-1.10
26-December-2025,967.10,971.15,964.45,966.40,967.072283010369515069,401851,10455,388618964.00,304731,75.83,6.70,-0.70
24-December-2025,972.10,977.50,967.95,969.00,971.516784862998029651,406527,23148,394947804.00,130909,32.20,9.55,-3.10
23-December-2025,975.05,977.60,970.45,971.85,973.433160392979357544,181180,11722,176366620.00,111838,61.73,7.15,-3.20
22-December-2025,983.90,983.90,972.60,974.25,974.984902479891065001,395098,8605,385214585.00,301545,76.32,11.30,-9.65
19-December-2025,978.15,981.90,977.00,980.15,979.466912102730699684,261032,8111,255672207.00,185983,71.25,4.90,2.00
18-December-2025,976.75,981.00,973.50,977.70,977.673828657156216047,594574,27854,581299439.00,165862,27.90,7.50,0.95
17-December-2025,965.00,978.50,965.00,975.90,975.459975327316661431,569861,15701,555876597.00,403198,70.75,13.50,10.90
16-December-2025,967.95,969.00,958.80,961.40,963.682719368158464704,222081,5605,214015622.00,153175,68.97,10.20,-6.55
15-December-2025,959.95,969.30,957.05,967.15,964.846348307505624794,118671,5599,114499281.00,45685,38.50,12.25,7.20
12-December-2025,964.05,967.00,958.00,962.90,961.705882066300550149,205217,7263,197358396.00,111993,54.57,9.00,-1.15
11-December-2025,963.95,966.45,958.25,963.40,962.923133010042814034,1563506,37658,1505536096.00,135308,8.65,8.20,-0.55
10-December-2025,959.35,964.00,955.10,959.55,958.623850590315566813,423587,28023,406060601.00,65972,15.57,8.90,0.20
9-December-2025,956.05,964.20,950.80,959.35,958.766220751873269697,374212,13970,358781825.00,172904,46.20,13.40,3.30
8-December-2025,972.35,972.50,951.00,956.10,953.230723812595910521,2120466,18284,2021293340.00,1872243,88.29,21.50,-16.25
5-December-2025,948.80,972.80,946.80,971.40,960.144828841310563053,511017,12578,490650330.00,237119,46.40,26.00,22.60
4-December-2025,951.70,952.55,944.10,948.05,948.070786705385079444,2062068,29179,1954986431.00,912060,44.23,8.45,-3.65
3-December-2025,972.25,972.25,947.35,951.40,954.599779932494349772,875186,31389,835452363.00,600774,68.65,24.90,-20.85
2-December-2025,976.00,980.05,964.55,967.75,972.893483794588992650,528774,12507,514440779.00,394667,74.64,15.50,-8.25
1-December-2025,984.70,991.25,970.20,973.15,981.421277072561668614,312355,14109,306551843.00,157720,50.49,21.05,-11.55
28-November-2025,977.00,983.00,973.00,979.55,978.928212204151492531,397881,9504,389496936.00,269195,67.66,10.00,2.55
27-November-2025,987.85,988.00,968.80,972.85,974.700265123835176316,1490247,39495,1452544146.00,540222,36.25,19.20,-15.00
26-November-2025,987.40,999.10,982.20,984.05,989.179512634504934672,412996,21904,408527182.00,224065,54.25,16.90,-3.35
25-November-2025,976.00,988.90,971.50,983.20,983.808129045515257371,243325,6723,239385113.00,154940,63.68,17.40,7.20
24-November-2025,974.20,977.85,967.70,970.30,973.627631629297324308,444259,10436,432542838.00,329269,74.12,10.15,-3.90
21-November-2025,979.95,980.55,971.00,972.60,975.248496802723252632,188598,8032,183929916.00,101158,53.64,9.55,-7.35
20-November-2025,988.95,988.95,979.00,981.70,981.869040334733336105,1009998,23912,991685767.00,262310,25.97,9.95,-7.25
19-November-2025,972.50,984.50,969.00,982.45,977.746683667112443827,240778,14091,235419891.00,111130,46.15,15.50,9.95
18-November-2025,976.80,976.80,970.00,972.55,972.177567237163814180,392640,5315,381715800.00,304615,77.58,6.80,-4.25
17-November-2025,974.15,976.20,969.95,973.20,973.223058620545715120,215607,7253,209833704.00,141470,65.61,6.25,-0.95
14-November-2025,954.25,969.00,953.00,967.35,961.665637238400113745,478259,12114,459925246.00,375887,78.59,16.00,13.10
13-November-2025,955.70,964.00,952.20,954.55,956.659127828742387580,968319,31326,926351210.00,203791,21.05,11.80,-1.15
12-November-2025,958.00,961.50,951.05,957.35,956.743010084862123419,359053,9895,343521448.00,235147,65.49,10.45,-0.65
11-November-2025,954.00,954.50,945.05,953.30,948.879644187302760640,1406920,12954,1334997749.00,1240300,88.16,9.45,-0.70
10-November-2025,955.95,963.00,949.15,951.85,953.132711933912263009,387727,13715,369555287.00,166429,42.92,13.85,-4.10
7-November-2025,959.95,964.50,944.00,955.95,953.855053723556796540,582333,18012,555461275.00,233905,40.17,20.50,-4.00
6-November-2025,966.35,971.15,955.30,960.75,961.419066258900626091,1731058,28954,1664272166.00,692709,40.02,15.85,-5.60
4-November-2025,952.25,959.00,941.35,957.05,950.825938548552634771,948033,25089,901414367.00,435608,45.95,17.65,4.80
3-November-2025,938.50,953.15,937.80,950.25,947.375768048879556444,696733,21209,660067961.00,426744,61.25,15.35,11.75
31-October-2025,935.80,946.70,930.25,937.00,940.698177901192190053,780748,13074,734448221.00,571856,73.24,16.45,1.20
30-October-2025,940.00,944.60,932.90,934.10,937.182599311380311037,1338039,30119,1253986868.00,751700,56.18,11.70,-5.90
29-October-2025,932.60,941.65,930.30,939.80,936.868408175556141077,1089247,28407,1020481103.00,812068,74.55,11.35,7.20
28-October-2025,923.25,935.90,917.80,930.25,927.784070757848218431,641738,24424,595394294.00,316846,49.37,18.10,7.00
27-October-2025,905.50,927.90,905.50,923.25,917.990424449775525240,392249,13967,360080826.00,247307,63.05,22.40,17.75
24-October-2025,911.45,914.20,900.80,904.40,905.944318175377342983,176431,10390,159836662.00,79928,45.30,13.40,-7.05
23-October-2025,910.55,917.90,904.80,911.45,912.352754694031307157,1321998,45314,1206128517.00,478405,36.19,13.10,0.90
21-October-2025,906.35,910.40,906.35,908.10,908.134952799504020669,327433,10277,297353352.00,274888,83.95,4.05,1.75
20-October-2025,893.70,913.40,891.55,906.85,905.166873565722672265,835351,24560,756132053.00,508325,60.85,21.85,13.15
17-October-2025,886.25,894.60,882.60,889.35,889.473954659949622166,436700,16415,388433276.00,195818,44.84,12.00,3.10
16-October-2025,886.75,891.90,882.50,886.90,887.112453493487224222,1072968,32499,951843275.00,298993,27.87,9.40,0.15
15-October-2025,877.20,887.75,877.20,886.20,883.972207707091551603,564545,32101,499042090.00,239135,42.36,10.55,9.00
14-October-2025,883.00,884.50,872.15,876.90,877.521851740003197555,281465,16615,246991688.00,123000,43.70,12.35,-6.10
13-October-2025,879.95,888.05,875.80,883.00,883.744990011463840531,620211,20129,548108364.00,308214,49.70,12.25,3.05
10-October-2025,861.20,883.70,861.20,880.75,879.129676881262350473,1334463,27741,1173166026.00,910983,68.27,22.50,19.55
9-October-2025,861.25,865.65,858.25,862.10,862.255222436706841729,1347934,15678,1162263131.00,745841,55.33,7.40,0.85
8-October-2025,866.10,868.00,857.30,858.05,860.073899885058683341,663817,8947,570931676.00,499333,75.22,10.70,-8.05
7-October-2025,874.05,875.95,863.05,864.70,868.110592131000950092,715720,11334,621324113.00,568470,79.43,12.90,-9.35
6-October-2025,868.90,874.90,862.55,874.05,867.417962471827824533,652683,11099,566148958.00,427596,65.51,12.35,5.15
3-October-2025,864.15,872.95,863.85,867.05,866.893774095539612428,783340,12245,679072569.00,600474,76.66,9.10,2.90
1-October-2025,872.60,876.50,862.40,864.05,865.833350691268445447,2208404,26135,1912109835.00,1091455,49.42,14.10,-8.55
30-September-2025,870.45,877.50,867.85,872.55,873.585911686500152565,229410,7447,200409344.00,93067,40.57,9.65,2.10
29-September-2025,857.05,873.00,855.90,870.50,865.416466889516670605,533094,13686,461348326.00,270505,50.74,17.10,13.45
26-September-2025,861.05,864.15,852.50,857.00,857.792563812464004537,342057,10319,293413951.00,115290,33.70,11.65,-4.05
25-September-2025,865.85,870.05,859.55,861.05,863.245264020228062956,804427,28300,694417798.00,180329,22.42,10.50,-4.80
24-September-2025,875.20,880.40,864.55,865.85,871.947023574198534997,450238,23417,392583684.00,188010,41.76,15.85,-9.35
23-September-2025,851.10,874.00,851.10,870.50,865.060035957695616561,388234,13755,335845718.00,164452,42.36,22.90,19.40
22-September-2025,862.90,868.00,853.90,855.05,861.225813967471364579,266104,12650,229175634.00,119426,44.88,14.10,-7.85
19-September-2025,852.50,863.50,849.05,862.25,860.428896541235769531,552336,24343,475245855.00,357248,64.68,14.45,9.75
18-September-2025,856.70,860.90,851.05,854.45,855.180064009164822209,719272,26317,615107075.00,229885,31.96,9.85,-2.25
17-September-2025,833.25,858.00,831.00,856.95,846.639364679935883709,1807341,40150,1530166036.00,1197863,66.28,27.00,23.70
16-September-2025,823.40,833.00,821.60,831.80,828.865244703608387355,368364,12434,305324117.00,234960,63.78,11.40,8.40
15-September-2025,823.30,828.00,821.40,824.90,824.842825025417782423,139666,5238,115202498.00,68468,49.02,6.60,1.60
12-September-2025,824.90,825.35,819.90,823.30,822.808196677168322697,297096,8835,244453024.00,199100,67.02,5.45,-1.60
11-September-2025,816.25,825.50,816.25,823.80,823.093403131535202959,1044344,24602,859592657.00,341825,32.73,9.25,7.55
10-September-2025,811.20,824.50,810.20,818.30,818.736991894816357363,489810,19837,401025566.00,257742,52.62,14.30,7.10
9-September-2025,810.35,812.45,805.40,808.95,808.157143527314521614,170532,7778,137816654.00,79642,46.70,7.05,-1.40
8-September-2025,807.10,813.50,807.10,809.00,810.294849716766037216,268859,9784,217855063.00,96935,36.05,6.40,1.90
5-September-2025,811.90,812.20,803.60,806.95,808.060467201458121272,272131,5358,219898303.00,196664,72.27,8.60,-4.95
4-September-2025,816.75,816.75,807.85,809.35,810.131209806554921356,619504,21762,501879525.00,164519,26.56,8.90,-7.40
3-September-2025,805.00,813.20,803.10,812.15,810.062439434759922050,187814,9977,152141067.00,90066,47.95,10.10,7.15
2-September-2025,809.90,810.50,802.90,803.95,806.635492896211592912,119021,4689,96006563.00,55052,46.25,7.60,-5.95
1-September-2025,802.65,808.25,802.65,805.90,805.283882984551331215,164286,5990,132296868.00,82041,49.94,5.60,3.25
29-August-2025,802.00,807.00,798.60,802.35,804.223812596997495351,520632,10024,418704652.00,384847,73.92,8.40,0.35
28-August-2025,807.80,810.60,800.70,802.05,806.659355489517162409,146716,8173,118349834.00,75129,51.21,9.90,-5.75
26-August-2025,815.80,815.80,806.55,807.80,810.490223877844576402,677825,22683,549370536.00,65530,9.67,9.25,-8.00
25-August-2025,817.00,820.45,814.00,815.50,816.776210887269609944,373280,9475,304886224.00,214275,57.40,6.45,-1.50
22-August-2025,825.50,825.95,815.55,816.10,819.710629586469717489,158755,6332,130133161.00,73935,46.57,10.40,-9.40
21-August-2025,828.80,833.45,824.50,825.55,829.183317230738171802,138694,5868,115002751.00,60602,43.69,8.95,-3.25
20-August-2025,829.80,831.50,826.95,828.80,829.347366402454615187,156440,5436,129743102.00,81440,52.06,4.55,-1.00
19-August-2025,827.65,831.25,825.85,830.35,829.043400512300033831,289674,10692,240152318.00,91359,31.54,5.40,2.70
18-August-2025,831.35,835.20,825.30,827.00,829.978413254922296436,435823,14516,361723682.00,243693,55.92,9.90,-4.35
14-August-2025,821.85,828.00,819.20,826.70,826.037177255407988118,492882,13282,407138856.00,270215,54.82,8.80,4.85
13-August-2025,823.45,824.90,820.55,822.15,822.395687428277285327,847012,8492,696579016.00,703330,83.04,4.35,-1.30
12-August-2025,824.30,825.60,820.00,820.55,822.715918393369461268,784250,13279,645214959.00,574046,73.20,5.60,-3.75
11-August-2025,807.00,824.95,807.00,824.30,820.785479296355419497,1141997,31624,937334555.00,677054,59.29,17.95,17.30
8-August-2025,805.00,807.95,790.10,804.55,802.302214374927571687,621304,15821,498473575.00,257429,41.43,17.85,-0.45
7-August-2025,801.10,806.50,793.30,805.25,799.770557987335854829,188248,7958,150555208.00,80905,42.98,13.20,4.15
6-August-2025,801.00,810.00,799.00,805.15,804.254473039541297566,376366,12661,302694039.00,180079,47.85,11.00,4.15
5-August-2025,795.65,803.65,795.65,800.70,800.358788787264856171,512346,17454,410060624.00,229119,44.72,8.00,5.05
4-August-2025,795.00,797.45,786.55,795.65,791.764116584988393087,193850,8354,153483474.00,88460,45.63,10.90,0.65
1-August-2025,796.50,800.75,791.95,793.95,795.964676661502810247,234321,9302,186511239.00,102023,43.54,8.80,-2.55
31-July-2025,796.65,803.60,792.45,796.45,798.203961740334045661,378571,11654,302176872.00,203715,53.81,11.15,-0.20
30-July-2025,799.85,803.40,796.25,801.85,800.643437870474142119,154363,6877,123589723.00,73866,47.85,7.15,2.00
29-July-2025,795.35,800.20,793.10,798.90,797.455149370831036174,330118,10163,263254299.00,76222,23.09,7.10,3.55
28-July-2025,808.95,809.20,796.00,797.15,802.298380807749138072,389824,14235,312755164.00,126645,32.49,13.20,-11.80
25-July-2025,814.35,819.00,805.55,806.50,811.225498342115476280,383923,13291,311448127.00,179777,46.83,13.45,-7.85
24-July-2025,819.75,821.95,810.65,815.85,816.006740851040167069,323698,11686,264139750.00,150581,46.52,11.30,-3.90
23-July-2025,815.20,825.00,811.40,820.75,813.910248319199972972,739975,8232,602273236.00,630452,85.20,13.60,5.55
22-July-2025,829.00,829.00,814.00,815.00,819.724134569062421141,174364,5180,142930379.00,90887,52.12,15.00,-14.00
21-July-2025,823.50,827.40,817.95,824.20,823.559581819449501483,258166,10421,212615083.00,178730,69.23,9.45,0.70
