Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-April-2026,1406.95,1426.60,1348.00,1360.05,1367.164363366443810986,193997,9571,265225785.00,133358,68.74,78.60,-46.90
23-April-2026,1465.10,1471.65,1414.05,1420.40,1435.280530117228809936,222215,15862,318940863.00,105384,47.42,57.60,-44.70
22-April-2026,1466.45,1502.00,1404.25,1462.85,1443.370077252576644656,534610,21444,771640077.00,289845,54.22,97.75,-3.60
21-April-2026,1507.00,1510.70,1488.25,1500.35,1501.009628655931646401,30430,1855,45675723.00,11996,39.42,22.45,-6.65
20-April-2026,1501.75,1531.60,1498.00,1504.10,1513.079122167231049752,46068,4171,69704529.00,23841,51.75,33.60,2.35
17-April-2026,1499.35,1522.15,1476.00,1511.85,1504.214648589683652797,32085,2518,48262727.00,15272,47.60,46.15,12.50
16-April-2026,1498.50,1511.35,1479.45,1490.90,1493.174328760446680715,69759,8863,104162348.00,26378,37.81,31.90,-7.60
15-April-2026,1450.30,1485.60,1450.00,1483.60,1469.560288730357659307,82984,8481,121949991.00,42820,51.60,35.60,33.30
13-April-2026,1423.45,1439.40,1413.60,1435.80,1429.304826418289585097,49602,3795,70896378.00,24821,50.04,25.80,12.35
10-April-2026,1461.45,1461.50,1426.20,1440.40,1435.660006195786864931,38736,3550,55611726.00,15266,39.41,35.30,-21.05
9-April-2026,1457.95,1463.85,1433.30,1461.45,1454.152274807164335207,61192,8928,88982486.00,18187,29.72,30.55,3.50
8-April-2026,1489.95,1490.60,1446.45,1450.85,1455.263378803777544596,120078,7765,174745116.00,63790,53.12,44.15,-39.10
7-April-2026,1432.35,1482.00,1432.35,1473.35,1469.109723526919747287,54291,6286,79759436.00,26519,48.85,49.65,41.00
6-April-2026,1405.65,1464.50,1405.65,1450.40,1453.668928702643124203,46271,3183,67262715.00,21480,46.42,58.85,44.75
2-April-2026,1399.15,1446.95,1384.55,1441.50,1423.900194785735690740,66740,8116,95031099.00,29107,43.61,62.40,42.35
1-April-2026,1407.05,1422.35,1395.50,1404.05,1410.199154886293792255,65080,6350,91775761.00,25070,38.52,26.85,-3.00
30-March-2026,1388.75,1420.00,1367.30,1386.70,1382.597910140419286293,45649,3570,63114212.00,16992,37.22,52.70,-2.05
27-March-2026,1390.10,1420.70,1385.20,1391.00,1403.178419062814331795,86493,6740,121365111.00,41952,48.50,35.50,0.90
25-March-2026,1413.90,1428.85,1392.50,1409.10,1412.782191327375041377,181260,20517,256080900.00,70625,38.96,36.35,-4.80
24-March-2026,1417.15,1439.00,1398.95,1432.90,1421.338279020874005105,66590,9441,94646916.00,33643,50.52,40.05,15.75
23-March-2026,1374.05,1414.75,1357.00,1383.50,1397.126553231448845037,151217,8803,211269286.00,57812,38.23,57.75,9.45
20-March-2026,1342.30,1390.20,1342.30,1384.90,1382.360138514813389765,33787,2713,46705802.00,14653,43.37,47.90,42.60
19-March-2026,1375.55,1376.35,1331.35,1339.75,1351.548784066000448747,57939,16861,78307385.00,19847,34.25,45.00,-35.80
18-March-2026,1355.50,1404.60,1344.25,1386.35,1387.652547953797104479,95665,16234,132749781.00,38236,39.97,60.35,30.85
17-March-2026,1340.55,1354.80,1318.55,1342.50,1343.289383606386036424,38271,4790,51409028.00,20962,54.77,36.25,1.95
16-March-2026,1319.10,1346.35,1315.95,1338.15,1330.643416000230966885,34637,2517,46089496.00,15995,46.18,30.40,19.05
13-March-2026,1345.00,1345.00,1320.00,1331.95,1327.934255356008546514,34634,4300,45991675.00,15762,45.51,25.00,-13.05
12-March-2026,1330.75,1356.30,1327.30,1350.15,1344.914056925394434313,63065,18152,84817005.00,26877,42.62,29.00,19.40
11-March-2026,1345.00,1355.65,1331.00,1333.95,1343.798030718434008431,33921,6645,45582973.00,12585,37.10,24.65,-11.05
10-March-2026,1349.30,1349.30,1316.40,1336.40,1328.633323198540589844,19734,2077,26219250.00,11318,57.35,32.90,-12.90
9-March-2026,1305.00,1340.60,1304.25,1335.50,1321.531418191603875134,44592,4653,58929729.00,22586,50.65,36.35,30.50
6-March-2026,1320.20,1360.90,1320.20,1332.05,1341.381153487408021556,38596,3259,51771947.00,17114,44.34,40.70,11.85
5-March-2026,1366.15,1368.80,1319.20,1333.65,1334.295670795512617720,41093,17935,54830212.00,13798,33.58,49.60,-32.50
4-March-2026,1340.00,1361.85,1323.70,1350.60,1348.595634095634095634,44252,11471,59678054.00,14189,32.06,38.15,10.60
2-March-2026,1313.90,1362.85,1313.90,1344.75,1340.361908904119861421,66677,8688,89371311.00,31514,47.26,48.95,30.85
27-February-2026,1385.20,1410.00,1355.00,1357.25,1372.701920806953535787,46595,5432,63961046.00,22075,47.38,55.00,-27.95
26-February-2026,1362.05,1397.15,1360.00,1361.80,1376.491728091728091728,73260,16915,100841784.00,25017,34.15,37.15,-0.25
25-February-2026,1353.30,1395.00,1351.80,1361.80,1372.737432684235313389,97674,14505,134080756.00,34978,35.81,43.20,8.50
24-February-2026,1415.85,1422.40,1336.45,1346.55,1363.462461416753158501,295789,20788,403297198.00,161122,54.47,85.95,-69.30
23-February-2026,1455.30,1469.50,1430.15,1441.75,1440.334997245127171522,212351,9697,305856577.00,163957,77.21,39.35,-13.55
20-February-2026,1460.10,1477.65,1453.35,1457.15,1463.120973573494609518,60848,4731,89027985.00,37740,62.02,24.30,-2.95
19-February-2026,1505.05,1532.10,1472.65,1480.95,1496.296939074399531341,40968,11387,61300293.00,16254,39.67,59.45,-24.10
18-February-2026,1523.10,1525.00,1481.85,1503.75,1494.070176079046958468,82179,13361,122781193.00,30259,36.82,43.15,-19.35
17-February-2026,1513.10,1547.80,1505.05,1524.10,1530.812320724874674959,37303,2398,57103892.00,13467,36.10,42.75,11.00
16-February-2026,1521.05,1540.00,1495.05,1513.10,1512.738178787023218919,74379,5269,112515953.00,29923,40.23,44.95,-7.95
13-February-2026,1489.80,1547.75,1463.80,1535.25,1510.298124438985212831,105835,9404,159842402.00,41161,38.89,83.95,45.45
12-February-2026,1605.00,1611.15,1527.40,1536.35,1562.632140805687717434,92269,13286,144182505.00,37783,40.95,83.75,-68.65
11-February-2026,1641.75,1656.00,1625.00,1634.20,1640.101840059725088928,22771,5976,37346759.00,7784,34.18,31.00,-7.55
10-February-2026,1628.80,1657.20,1611.85,1644.20,1646.442460853913836123,388353,2964,639400869.00,354499,91.28,45.35,15.40
9-February-2026,1629.90,1630.40,1613.90,1620.95,1621.951835320764772500,15011,1425,24347119.00,5969,39.76,16.50,-8.95
6-February-2026,1651.95,1651.95,1600.10,1619.10,1616.241532258064516129,29760,2403,48099348.00,15386,51.70,51.85,-32.85
5-February-2026,1617.40,1659.20,1617.40,1646.15,1643.212427266423467695,33169,11005,54503713.00,13546,40.84,41.80,28.75
4-February-2026,1664.85,1664.85,1598.05,1645.00,1618.148263377686417215,215994,19740,349510316.00,157196,72.78,66.80,-19.85
3-February-2026,1837.85,1850.00,1714.00,1715.65,1746.026687637307769123,40056,4970,69938845.00,16856,42.08,136.00,-122.20
2-February-2026,1714.90,1729.60,1710.00,1723.80,1720.812087336244541484,28625,2903,49258246.00,14162,49.47,19.60,8.90
1-February-2026,1718.35,1765.00,1705.40,1715.65,1734.228142730193451363,29258,3325,50740047.00,16922,57.84,59.60,-2.70
30-January-2026,1762.15,1762.15,1731.90,1743.30,1742.519981800257829680,13187,1314,22978611.00,6418,48.67,30.25,-18.85
29-January-2026,1746.40,1776.90,1736.10,1767.80,1743.528348525845465249,128243,2599,223595306.00,117146,91.35,40.80,21.40
28-January-2026,1746.50,1767.55,1741.45,1762.45,1752.313694417422411899,63734,6112,111681961.00,42177,66.18,26.10,15.95
27-January-2026,1710.70,1748.95,1700.80,1745.25,1726.997886450308608886,65293,6508,112760873.00,38398,58.81,48.15,34.55
23-January-2026,1690.20,1709.65,1689.90,1701.35,1702.313946928888249803,90407,7030,153901097.00,54802,60.62,19.75,11.15
22-January-2026,1690.15,1712.50,1683.70,1687.95,1700.191290654715038459,82555,4895,140359292.00,42545,51.54,28.80,-2.20
21-January-2026,1678.40,1694.95,1660.70,1687.10,1678.989389441591784338,49856,4533,83707695.00,20334,40.79,34.25,8.70
20-January-2026,1717.25,1717.25,1675.05,1678.30,1687.824054512452762817,33607,3896,56722703.00,18010,53.59,42.20,-38.95
19-January-2026,1688.10,1736.55,1672.60,1718.10,1722.501419280681566086,1541626,38658,2655452973.00,1359207,88.17,63.95,30.00
16-January-2026,1600.10,1679.95,1600.10,1670.55,1651.481357874302623747,179781,10960,296904970.00,98165,54.60,79.85,70.45
14-January-2026,1609.05,1612.05,1582.90,1588.50,1602.183702730151144034,16739,2478,26818953.00,10110,60.40,29.15,-20.55
13-January-2026,1566.75,1622.50,1566.75,1613.05,1614.654358732873747883,288811,3972,466329940.00,252728,87.51,55.75,46.30
12-January-2026,1572.00,1593.75,1564.00,1585.50,1581.536694027313549480,226481,2590,358188012.00,215862,95.31,29.75,13.50
9-January-2026,1577.10,1605.00,1577.10,1581.20,1586.756588726390117112,372037,1817,590332161.00,362266,97.37,27.90,4.10
8-January-2026,1622.75,1632.25,1575.00,1577.55,1596.970772678177040512,62031,6044,99061694.00,33742,54.40,57.25,-45.20
7-January-2026,1590.15,1634.50,1590.15,1625.35,1622.778431190961289127,21596,1816,35045523.00,9839,45.56,44.35,35.20
6-January-2026,1580.80,1623.15,1580.80,1600.85,1606.051796157059314954,11970,1234,19224440.00,5297,44.25,42.35,20.05
5-January-2026,1596.25,1609.35,1575.90,1595.80,1593.449662678444966267,26829,2803,42750661.00,16133,60.13,33.45,-0.45
2-January-2026,1608.50,1619.00,1601.60,1612.55,1608.543777637397346809,23745,2104,38194872.00,17211,72.48,17.40,4.05
1-January-2026,1590.05,1613.00,1587.40,1607.05,1603.386820206774817180,23794,1920,38150986.00,11089,46.60,25.60,17.00
31-December-2025,1619.90,1619.90,1587.70,1591.40,1597.556622088006902502,18544,1886,29625090.00,9415,50.77,32.20,-28.50
30-December-2025,1605.20,1615.60,1599.35,1604.80,1606.848637479013302337,23229,1902,37325487.00,13626,58.66,16.25,-0.40
29-December-2025,1610.15,1629.75,1610.10,1612.10,1621.017976082349379352,26424,2318,42833779.00,14552,55.07,19.65,1.95
26-December-2025,1617.55,1632.00,1608.50,1613.20,1617.422535211267605633,14058,1140,22737726.00,4537,32.27,23.50,-4.35
24-December-2025,1627.65,1636.25,1616.00,1631.10,1625.365344101123595505,17088,1197,27774243.00,8316,48.67,20.25,3.45
23-December-2025,1653.80,1653.80,1629.10,1632.10,1640.743980982102650567,95489,1238,156673002.00,87402,91.53,24.70,-21.70
22-December-2025,1614.00,1649.90,1614.00,1646.55,1639.382726436177205205,76070,4454,124707844.00,48753,64.09,35.90,32.55
19-December-2025,1610.00,1625.20,1595.00,1612.90,1608.767021813138317992,31724,2261,51036525.00,17275,54.45,30.20,2.90
18-December-2025,1579.50,1608.00,1575.00,1604.35,1594.084604829857299670,36440,2135,58088443.00,18930,51.95,33.00,24.85
17-December-2025,1572.00,1586.55,1571.00,1577.90,1578.084631231973629995,12135,711,19150057.00,5742,47.32,15.55,5.90
16-December-2025,1574.00,1580.00,1564.90,1577.55,1568.421780323895560207,217848,1692,341677548.00,210768,96.75,15.10,3.55
15-December-2025,1564.90,1588.05,1564.90,1575.45,1579.858114214399449154,23237,2054,36711163.00,14448,62.18,23.15,10.55
12-December-2025,1572.50,1581.20,1558.75,1579.05,1573.742449203734211971,29136,2120,45852560.00,19837,68.08,22.45,6.55
11-December-2025,1548.35,1571.90,1541.60,1568.70,1560.416686015014317777,12921,1155,20162144.00,5382,41.65,30.30,20.35
10-December-2025,1561.60,1572.55,1549.00,1550.75,1561.425148148148148148,27000,2415,42158479.00,15825,58.61,23.55,-10.85
9-December-2025,1588.90,1588.90,1559.00,1562.05,1570.138473506785374708,23138,2456,36329864.00,12692,54.85,29.90,-26.85
8-December-2025,1582.00,1595.80,1571.55,1591.75,1584.006149325777847735,95295,5355,150947866.00,42861,44.98,24.25,9.75
5-December-2025,1568.05,1582.50,1556.85,1569.85,1571.687648720999405116,26896,2380,42272111.00,13793,51.28,25.65,1.80
4-December-2025,1541.85,1578.10,1541.50,1561.55,1567.137315765249874233,93427,5055,146412938.00,52652,56.36,36.60,19.70
3-December-2025,1542.95,1550.70,1530.80,1541.80,1542.172972972972972972,18685,1576,28815502.00,7792,41.70,19.90,-1.15
2-December-2025,1512.45,1538.35,1512.45,1535.55,1528.175415608877241831,24422,1328,37321100.00,17013,69.66,25.90,23.10
1-December-2025,1519.50,1531.20,1510.00,1528.55,1522.704756312389900176,17030,1692,25931662.00,10165,59.69,21.20,9.05
28-November-2025,1510.35,1525.75,1507.95,1516.85,1519.710118779130957750,59859,3064,90968328.00,33261,55.57,17.80,6.50
27-November-2025,1520.30,1532.55,1505.50,1509.95,1513.430101393266118106,70123,2131,106126259.00,54784,78.13,27.05,-10.35
26-November-2025,1502.45,1521.50,1495.00,1520.10,1510.965678673664122137,67072,3699,101343490.00,45732,68.18,26.50,17.65
25-November-2025,1500.20,1500.35,1483.40,1495.15,1491.974492497793468667,45320,3202,67616284.00,19283,42.55,16.95,-5.05
24-November-2025,1472.55,1514.00,1463.30,1494.70,1500.550989550082322502,178566,10118,267947388.00,105616,59.15,50.70,22.15
21-November-2025,1450.05,1469.00,1439.65,1460.85,1457.084328083726217942,59814,3941,87154042.00,25232,42.18,29.35,10.80
20-November-2025,1452.65,1464.00,1429.60,1456.70,1451.902308560388986156,2153290,8749,3126366722.00,1953258,90.71,34.40,4.05
19-November-2025,1422.15,1443.00,1420.00,1438.20,1435.852300216737747325,286060,3816,410739909.00,251826,88.03,23.00,16.05
18-November-2025,1444.00,1452.30,1420.00,1421.10,1426.675613634614891379,155956,2780,222498622.00,141982,91.04,32.30,-22.90
17-November-2025,1440.80,1455.95,1438.50,1453.50,1447.541206981291894548,95627,2408,138424023.00,86599,90.56,17.45,12.70
14-November-2025,1449.75,1449.75,1423.00,1438.25,1435.824982900136798905,11696,1344,16793409.00,4467,38.19,26.75,-11.50
13-November-2025,1464.65,1464.65,1442.45,1450.80,1452.748453603903491400,474652,3150,689549959.00,446959,94.17,22.20,-13.85
12-November-2025,1412.00,1459.50,1412.00,1456.10,1445.777975432101733214,83198,4366,120285836.00,46607,56.02,47.50,44.10
11-November-2025,1404.00,1410.35,1392.60,1408.90,1402.226530105964489492,28217,2269,39566626.00,14326,50.77,17.75,4.90
10-November-2025,1385.30,1404.05,1384.45,1397.00,1396.136790246640266907,32071,2477,44775503.00,21588,67.31,19.60,11.70
7-November-2025,1409.15,1409.15,1384.80,1387.15,1395.412869275375553627,87604,4013,122243749.00,72699,82.99,24.35,-22.00
6-November-2025,1417.45,1420.50,1410.00,1413.95,1414.727132082769290272,25855,1331,36577770.00,14329,55.42,10.50,-3.50
4-November-2025,1419.45,1422.70,1406.00,1408.80,1418.714852902889872429,92184,1229,130782810.00,82038,88.99,16.70,-10.65
3-November-2025,1420.00,1423.85,1412.90,1419.45,1420.042278047387953182,70060,2134,99488162.00,60805,86.79,10.95,-0.55
31-October-2025,1444.55,1444.55,1420.90,1424.80,1429.458744131455399061,17040,1386,24357977.00,8779,51.52,23.65,-19.75
30-October-2025,1451.80,1454.35,1432.20,1433.55,1437.673233347869778730,105482,11905,151648648.00,74545,70.67,22.15,-18.25
29-October-2025,1448.10,1461.00,1443.00,1453.35,1451.588381154799858306,16938,6467,24587004.00,5569,32.88,18.00,5.25
28-October-2025,1466.00,1467.40,1435.50,1447.30,1446.825612119076977276,34062,8197,49281774.00,16271,47.77,31.90,-18.70
27-October-2025,1455.65,1475.15,1455.65,1462.95,1465.509120310478654592,15460,2931,22656771.00,6760,43.73,19.50,7.30
24-October-2025,1469.00,1469.00,1450.00,1453.15,1459.639839748465946549,59157,5954,86347914.00,36019,60.89,19.00,-15.85
23-October-2025,1460.05,1487.00,1460.05,1462.85,1473.454191139148720179,55164,9841,81281627.00,19456,35.27,26.95,2.80
21-October-2025,1445.05,1456.90,1444.20,1448.30,1450.286791915741531454,14052,2548,20379430.00,7087,50.43,12.70,3.25
20-October-2025,1446.35,1454.35,1438.35,1444.75,1446.749959347390102444,18449,3591,26691090.00,7211,39.09,16.00,-1.60
17-October-2025,1467.25,1467.25,1440.60,1447.55,1448.637095155392255260,114581,11879,165986287.00,89289,77.93,26.65,-19.70
16-October-2025,1460.15,1466.00,1448.00,1464.00,1457.799925985735432647,29724,7537,43331645.00,10664,35.88,18.00,3.85
15-October-2025,1475.00,1479.00,1440.90,1459.10,1456.644106340691451250,160503,12679,233795749.00,89930,56.03,38.10,-15.90
14-October-2025,1451.90,1479.40,1451.90,1468.15,1468.438996669067338854,88864,12775,130491363.00,55273,62.20,27.50,16.25
13-October-2025,1447.10,1461.60,1439.35,1450.90,1447.661604910206865196,21995,4365,31841317.00,8369,38.05,22.25,3.80
10-October-2025,1471.05,1475.00,1451.10,1457.25,1461.970671093671395512,19878,2393,29061053.00,10604,53.35,23.90,-13.80
9-October-2025,1466.10,1475.00,1451.45,1466.30,1465.160988671472708547,24275,3534,35566783.00,9433,38.86,23.55,0.20
8-October-2025,1430.50,1472.65,1430.50,1458.20,1459.981947347228347362,104306,2849,152284877.00,75562,72.44,42.15,27.70
7-October-2025,1438.40,1445.05,1426.95,1438.45,1440.424862693027306196,115981,3267,167061916.00,91176,78.61,18.10,0.05
6-October-2025,1402.65,1440.85,1398.00,1439.40,1420.021814495028780743,61152,3300,86837174.00,33907,55.45,42.85,36.75
3-October-2025,1417.00,1424.75,1398.00,1400.75,1405.325028360152934750,23801,2286,33448141.00,13388,56.25,26.75,-16.25
1-October-2025,1393.20,1423.55,1393.20,1416.45,1416.697609770547086836,87774,1180,124349216.00,77202,87.96,30.35,23.25
30-September-2025,1409.95,1426.65,1393.80,1399.70,1412.838017874097629346,66353,3340,93746041.00,48729,73.44,32.85,-10.25
29-September-2025,1410.55,1419.80,1392.00,1410.85,1403.998844496670583627,51060,2814,71688181.00,39526,77.41,27.80,0.30
26-September-2025,1443.45,1443.45,1403.90,1407.50,1416.801402256886823763,24104,2211,34150581.00,15398,63.88,39.55,-35.95
25-September-2025,1441.20,1460.65,1437.00,1443.90,1449.176926621669241820,36891,11289,53461586.00,12182,33.02,23.65,2.70
24-September-2025,1470.00,1470.05,1439.50,1452.75,1450.069036611270773459,64024,13561,92839220.00,27878,43.54,30.55,-17.25
23-September-2025,1510.05,1510.55,1468.10,1471.90,1482.817879319052853620,33659,5994,49910167.00,14988,44.53,42.45,-38.15
22-September-2025,1491.20,1509.75,1453.70,1504.20,1496.598149790243877143,192843,18099,288608477.00,107001,55.49,56.05,13.00
19-September-2025,1545.10,1556.90,1541.65,1554.00,1549.695004731311320284,20079,6172,31116326.00,8427,41.97,15.25,8.90
18-September-2025,1554.40,1567.45,1541.75,1550.35,1551.557414382061837610,34251,8595,53142393.00,15293,44.65,25.70,-4.05
17-September-2025,1546.40,1550.00,1526.30,1546.65,1539.709077472595147185,24357,3536,37502694.00,11977,49.17,23.70,0.25
16-September-2025,1524.65,1533.00,1511.00,1530.90,1523.736155852124558981,19557,1159,29799708.00,10031,51.29,22.00,6.25
15-September-2025,1525.65,1525.65,1505.35,1519.70,1516.195855274333276711,17661,1746,26777535.00,10612,60.09,20.30,-5.95
12-September-2025,1530.00,1530.00,1513.45,1525.60,1523.760843058700574812,11482,840,17495822.00,6312,54.97,16.55,-4.40
11-September-2025,1508.05,1530.00,1505.35,1520.75,1518.073144687666844634,22476,1401,34120212.00,15813,70.36,24.65,12.70
10-September-2025,1495.50,1535.90,1495.50,1525.85,1524.446490603942577323,23893,2016,36423600.00,12716,53.22,40.40,30.35
9-September-2025,1461.20,1499.95,1461.20,1497.65,1489.970813558055233753,26759,1516,39870129.00,7621,28.48,38.75,36.45
8-September-2025,1478.15,1485.95,1458.35,1460.55,1474.378661424934746882,31033,1533,45754393.00,8993,28.98,27.60,-17.60
5-September-2025,1494.85,1506.20,1463.45,1477.65,1484.042546089692003804,218704,8210,324566041.00,175435,80.22,42.75,-17.20
4-September-2025,1508.95,1510.20,1496.05,1500.90,1503.380434390771449170,110960,5737,166815093.00,97194,87.59,14.15,-8.05
3-September-2025,1509.70,1515.10,1498.35,1508.95,1507.603620474406991260,6408,694,9660724.00,2485,38.78,16.75,-0.75
2-September-2025,1500.45,1519.90,1497.80,1511.75,1514.018849685838569357,22759,1694,34457555.00,11963,52.56,22.10,11.30
1-September-2025,1481.45,1510.00,1481.45,1506.65,1505.229934402147759795,78966,3534,118861987.00,64270,81.39,28.55,25.20
29-August-2025,1496.00,1504.30,1479.10,1481.30,1494.618115910381272655,22897,1189,34222271.00,7568,33.05,25.20,-14.70
28-August-2025,1502.00,1508.15,1482.35,1495.10,1495.742741369408461489,31342,2417,46879569.00,17536,55.95,25.80,-6.90
26-August-2025,1516.05,1524.70,1499.00,1502.20,1508.375901081297557068,19976,1773,30131317.00,9066,45.38,25.70,-13.85
25-August-2025,1510.05,1539.20,1509.40,1526.80,1530.919623386063899754,28889,1620,44226737.00,11588,40.11,29.80,16.75
22-August-2025,1521.05,1523.35,1498.65,1503.95,1511.239841648196936115,71739,2914,108414835.00,62702,87.40,24.70,-17.10
21-August-2025,1530.00,1531.15,1511.00,1520.90,1525.292691959509505390,72906,1813,111202989.00,61690,84.62,20.15,-9.10
20-August-2025,1485.05,1531.85,1485.05,1523.80,1516.482931469759613625,27331,1589,41446995.00,10645,38.95,46.80,38.75
